| pc = 0x4022 | a = 0x03 | x = 0x00 | y = 0x00 | sp = 0x0200 | p[NV-BDIZC] = 00100000 |
| pc = 0x4023 | a = 0x03 | x = 0x00 | y = 0x00 | sp = 0x01ff | p[NV-BDIZC] = 00100000 |
| pc = 0x4024 | a = 0x01 | x = 0x00 | y = 0x00 | sp = 0x01ff | p[NV-BDIZC] = 00100001 |
| pc = 0x4025 | a = 0x80 | x = 0x00 | y = 0x00 | sp = 0x01ff | p[NV-BDIZC] = 10100001 |
| pc = 0x4026 | a = 0x80 | x = 0x00 | y = 0x00 | sp = 0x01fe | p[NV-BDIZC] = 10100001 |
| pc = 0x4027 | a = 0x80 | x = 0x00 | y = 0x00 | sp = 0x01fd | p[NV-BDIZC] = 10100001 |
| pc = 0x4028 | a = 0x01 | x = 0x00 | y = 0x00 | sp = 0x01fd | p[NV-BDIZC] = 00100001 |
| pc = 0x402a | a = 0xff | x = 0x00 | y = 0x00 | sp = 0x01fd | p[NV-BDIZC] = 10100001 |
| pc = 0x402b | a = 0xff | x = 0x00 | y = 0x00 | sp = 0x01fe | p[NV-BDIZC] = 10100001 |
| pc = 0x402c | a = 0x80 | x = 0x00 | y = 0x00 | sp = 0x01ff | p[NV-BDIZC] = 10100001 |
| pc = 0x402d | a = 0x03 | x = 0x00 | y = 0x00 | sp = 0x0200 | p[NV-BDIZC] = 10100001 |
| pc = 0x402e | a = 0x03 | x = 0x00 | y = 0x00 | sp = 0x0200 | p[NV-BDIZC] = 10100001 |
